('_重大_疾病', 0.017789747314352424)
('_保障_范围', 0.015639743403053734)
('_本_公司', 0.014212133249451173)
('_完全_丧失', 0.013672071599779227)
('_满足_下列', 0.01222551433926759)
('_不_在', 0.011979165549614371)
('_在_保障_范围', 0.011447420114413524)
('_不_在_保障_范围', 0.011437253239670606)
('_意外_伤害', 0.010722245979224557)
('_保障_范围_内', 0.01060853796282469)
('_在_保障', 0.010412326193951542)
('_范围_内', 0.009957964710051568)
('_不_在_保障', 0.009778776893266231)
('_不_在_保障_范围_内', 0.009252386106707824)
('_明确_诊断', 0.009062853195861094)
('_日常生活_活动', 0.008990786509666062)
('_六项_基本_日常生活', 0.008813957372202039)
('_基本_日常生活', 0.008694797110512052)
('_基本_日常生活_活动', 0.008671016020472998)
('_保险_事故', 0.008504469334120192)
('_六项_基本_日常生活_活动', 0.008471400808888209)
('_无法_独立_完成', 0.008416998241492396)
('_能力_完全_丧失', 0.008404916576493579)
('_六项_基本', 0.00839045485849957)
('_独立_完成', 0.008372723030017721)
('_须_满足', 0.008280378743688845)
('_全部_条件', 0.008136980840438046)
('_无法_独立', 0.008091270307811042)
('_满足_下列_全部_条件', 0.008055553080109046)
('_能力_完全', 0.008044578834827905)
('_完成_六项_基本', 0.008015592064755328)
('_完成_六项_基本_日常生活_活动', 0.008007297065830716)
('_独立_完成_六项_基本', 0.007983179366952062)
('_独立_完成_六项_基本_日常生活_活动', 0.007969809612219424)
('_现金_价值', 0.007895715475057304)
('_保险_责任', 0.007862807650603243)
('_自主_生活_能力', 0.007861093157077316)
('_下列_全部_条件', 0.007824726255299244)
('_下列_全部', 0.0077747600934583135)
('_在_保障_范围_内', 0.007589137183218081)
('_满足_下列_全部', 0.007381665340833892)
('_须_满足_下列', 0.00729806363696932)
('_自主_生活_能力_完全', 0.006987490384294292)
('_生活_能力', 0.0069295551511262985)
('_疾病_保险金', 0.006775148260705676)
('_检查_证实', 0.006492655221901654)
('_给付_保险金', 0.0064529054335704114)
('_完成_六项_基本_日常生活_活动_中', 0.006416220610122214)
('_自主_生活_能力_完全_丧失', 0.006412170303417178)
('_实际_实施', 0.0062242461054403545)
('_六项_基本_日常生活_活动_中', 0.006091927279317046)
('_基本_日常生活_活动_中', 0.005948524247138768)
('_日常生活_活动_中', 0.005877684150055076)
('_生活_能力_完全_丧失', 0.005787014647417134)
('_须_满足_下列_全部_条件', 0.005574656463159349)
('_或_意外_伤害', 0.005543618524187427)
('_意外_伤害_导致', 0.005524335216915248)
('_活动_中', 0.005442653445027672)
('_造血_干细胞', 0.0054370924233099705)
('_影像学_检查', 0.005334353753206997)
('_180_天后', 0.0052741411122118375)
('_肢体_机能', 0.005261630908356102)
('_永久_不可逆性', 0.0049619913839142205)
('_须_满足_下列_全部', 0.00474727802066545)
('_免疫_缺陷', 0.004737579927522766)
('_疾病_或', 0.004725692890668043)
('_人类_免疫_缺陷', 0.004551348635611509)
('_神经系统_永久性', 0.004514108692388152)
('_必须_由', 0.004513992174510499)
('_语言_能力', 0.00451185472637132)
('_人类_免疫', 0.004489225768864357)
('_重大_疾病_保险金', 0.004259691511046064)
('_咀嚼_吞咽', 0.004251307062599286)
('_疾病_或_意外_伤害', 0.004217696733698797)
('_或_意外', 0.004156833429871812)
('_疾病_或_意外_伤害_导致', 0.004149291229506777)
('_临床表现_为', 0.0041359629270250374)
('_须_由', 0.004085042232219663)
('_三项_以上', 0.004073399095134278)
('_人类_免疫_缺陷_病毒', 0.0040712743658899994)
('_或_意外_伤害_导致', 0.00405313345578667)
('_个_月', 0.003982442925445347)
('_心脏_瓣膜', 0.003936849112653284)
('_三项_或_三项_以上', 0.0038945980518933112)
('_急性_心肌梗塞', 0.0037968180363075034)
('_三项_或', 0.003775591335640004)
('_免疫_缺陷_病毒', 0.0037707943126158443)
('_专科医生_确诊', 0.0037660234686286253)
('_证明_和_资料', 0.003715395374233784)
('_180_天', 0.003672038198899012)
('_缺陷_病毒', 0.003671004616584395)
('_认可_医院', 0.003650077195225132)
('_证明_和', 0.0036385206945078077)
('_基本_保险金额', 0.003608003086792098)
('_心脏病_学会', 0.0035277879287333776)
('_以上_肢体', 0.0034952669354613533)
('_和_资料', 0.003488605115391836)
('_中枢神经_系统', 0.0034261474244285306)
('_艾滋病_病毒', 0.003408176526920036)
('_不_承担', 0.003392510365635331)
('_附加_合同', 0.0033800786587109793)
('_专科医生_明确_诊断', 0.0033440876031778843)
('_轻症_疾病', 0.0033247629449416555)
('_如实_告知', 0.0033211500631551466)
('_心脏病_学会_心功能', 0.0033058939728204846)
('_永久_完全', 0.0032761539556067556)
('_疾病_或_意外', 0.003254563195092262)
('_是_指', 0.0031957741531519653)
('_在_本', 0.003195266627732478)
('_以上_肢体_机能', 0.0031745030099117615)
('_不_包括', 0.0031710879286310275)
('_疾病_确诊', 0.003145702098858677)
('_身故_保险金', 0.0031413276626089314)
('_学会_心功能', 0.0031107143220533346)
('_合同_效力', 0.0030128494236762514)
('_咀嚼_吞咽_能力', 0.0030097479016124025)
('_功能_衰竭', 0.0029967792279593274)
('_等_影像学', 0.002993850272060335)
('_所有_条件', 0.0029822686800916893)
('_等_影像学_检查', 0.002954883272633286)
('_咀嚼_吞咽_能力_完全_丧失', 0.002947941608070974)
('_影像学_检查_证实', 0.0029473308043536915)
('_检查_结果', 0.0029259029891388075)
('_肝功能_衰竭', 0.00290231425560453)
('_承担_给付', 0.0028820809908416114)
('_等_影像学_检查_证实', 0.0028755383943066593)
('_确诊_180', 0.0028703412394980514)
('_确诊_180_天后', 0.0028396929394312897)
('_事故_发生', 0.0028184574016582907)
('_美国纽约_心脏病_学会', 0.0028059895896798345)
('_美国纽约_心脏病', 0.002765621624965193)
('_发生_保险_事故', 0.002739350797230862)
('_体力_活动', 0.00269169087766081)
('_指因_疾病_或_意外_伤害_导致', 0.0026747236211051247)
('_感染_艾滋病_病毒', 0.0026631759498987762)
('_机能_永久_完全_丧失', 0.002636178889713434)
('_染色体_异常', 0.0026288003424320213)
('_机能_永久_完全', 0.002598439742989854)
('_核磁共振_检查', 0.002592386704798294)
('_肾上腺_皮质', 0.0025509379563474596)
('_达到_美国纽约_心脏病_学会', 0.002547164766956541)
('_达到_美国纽约_心脏病', 0.002533840678286395)
('_吞咽_能力', 0.002517903318557783)
('_满足_下列_至少', 0.0025098915062450166)
('_IV_级', 0.002508728078468117)
('_一肢_以上_肢体', 0.0025085262397446092)
('_一肢_以上', 0.0025042474773482736)
('_体表_面积', 0.002504145619274017)
('_美国纽约_心脏病_学会_心功能', 0.0025019869188795145)
('_一肢_以上_肢体_机能', 0.0024972775822223433)
('_因_意外', 0.0024949602394800058)
('_有效_身份证件', 0.0024871806858445117)
('_已经_实施', 0.0024823551377702946)
('_是_一种', 0.002476352688589852)
('_吞咽_能力_完全', 0.0024748633309970612)
('_肢体_机能_永久_完全_丧失', 0.0024743553019368637)
('_一肢_或_一肢_以上_肢体_机能', 0.002472217026090516)
('_美国纽约_心脏病_学会_心功能_状态', 0.002471376147904097)
('_患_艾滋病', 0.002458508792095177)
('_一肢_或_一肢_以上_肢体', 0.002449265448233792)
('_美国纽约_心脏病_学会_心功能_状态_分级', 0.0024402487036338356)
('_功能_损害', 0.002436993980795691)
('_指因_疾病', 0.002435445391929776)
('_疾病_确诊_180', 0.0024300277396426834)
('_心脏病_学会_心功能_状态', 0.002419235381462732)
('_先天性_畸形', 0.002417266443058248)
('_指因_疾病_或_意外_伤害', 0.002414261178980832)
('_公司_认可', 0.002409617816632418)
('_一肢_或_一肢_以上', 0.0024029198272246667)
('_不_可逆', 0.002396050605734421)
('_达到_美国纽约_心脏病_学会_心功能', 0.002388244048057031)
('_下列_至少', 0.0023878989360546356)
('_感染_艾滋病', 0.0023849335029397186)
('_或_咀嚼_吞咽_能力', 0.0023841374494032543)
('_或_咀嚼_吞咽', 0.0023815682848625395)
('_须_经', 0.002380975768949304)
('_疾病_确诊_180_天后', 0.002375551187589476)
('_仍_遗留', 0.0023742828041085962)
('_仍_遗留_下列', 0.002370982305838853)
('_达到_美国纽约_心脏病_学会_心功能_状态', 0.0023697875382075405)
('_被保险人_在', 0.0023664342464270387)
('_心脏病_学会_心功能_状态_分级', 0.0023645867465785235)
('_诊断_必须', 0.0023618609489471747)
('_并_须', 0.0023551476605453278)
('_承担_保险_责任', 0.002354786173971846)
('_由_专科医生', 0.002339867777819896)
('_语言_能力_或_咀嚼_吞咽_能力', 0.0023319317031918565)
('_保险金_给付', 0.0023298174770700463)
('_状态_分级', 0.0023247909666488935)
('_分期_方案', 0.002320545597707046)
('_被保险人_因', 0.0023181574303060503)
('_介入_手术', 0.0023134004141286426)
('_学会_心功能_状态', 0.00231273445633482)
